Time,CPU,Memory,Temperature,Power
502,184.80%,2491,45.7,  2.94 W   
503,223.70%,2518,46.7,  3.58 W   
504,220.30%,2836,46.2,  3.44 W   
505,296.30%,2863,45.7,  4.71 W   
506,267.60%,3185,45.7,  4.24 W   
507,251.60%,3203,46.7,  3.99 W   
508,310.60%,3514,46.7,  4.88 W   
509,386.60%,3535,45.2,  6.08 W   
510,184.50%,3871,46.2,  3.00 W   
511,246.60%,3888,45.7,  3.89 W   
512,313.40%,4181,44.3,  4.95 W   
513,269.00%,4215,45.2,  4.23 W   
514,229.00%,4528,46.2,  3.57 W   
515,259.10%,4553,44.3,  4.10 W   
516,247.90%,4891,46.7,  3.88 W   
517,260.00%,4920,45.2,  4.06 W   
518,303.40%,5239,45.2,  4.84 W   
519,321.50%,3033,45.7,  5.07 W   
520,309.40%,3034,45.2,  4.91 W   
521,392.00%,1975,44.8,  6.13 W   
522,324.10%,1768,45.2,  5.06 W   
523,228.00%,1768,46.7,  3.58 W   
524,238.80%,1768,47.2,  3.72 W   
525,350.60%,1768,45.7,  5.50 W   
526,204.60%,1768,45.7,  3.21 W   
527,291.40%,1767,46.7,  4.60 W   
528,246.70%,1800,46.7,  3.86 W   
529,201.30%,1767,47.7,  3.15 W   
530,210.10%,1767,46.7,  3.35 W   
531,322.90%,1765,47.2,  5.05 W   
532,202.40%,1788,48.7,  3.18 W   
533,276.40%,1810,47.2,  4.32 W   
534,348.60%,2148,47.2,  5.48 W   
535,355.00%,2163,47.2,  5.59 W   
536,224.20%,2535,47.7,  3.53 W   
537,302.90%,2522,48.7,  4.80 W   
538,325.10%,2893,48.2,  5.08 W   
539,258.70%,2879,47.7,  4.08 W   
540,263.00%,3216,47.7,  4.19 W   
541,327.30%,3201,49.1,  5.15 W   
542,324.80%,3565,47.2,  5.07 W   
543,263.20%,3546,48.2,  4.21 W   
544,266.70%,3880,47.7,  4.24 W   
545,254.00%,3864,49.1,  4.04 W   
546,266.80%,4207,48.2,  4.17 W   
547,321.80%,4195,49.1,  5.08 W   
548,376.30%,4575,48.7,  5.90 W   
549,266.90%,4562,47.7,  4.16 W   
550,210.60%,4912,48.2,  3.31 W   
551,279.60%,4898,49.1,  4.36 W   
552,396.00%,1800,48.7,  6.19 W   
